,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
246,2022,January,Saturday,Evening,Urban,Main Road,Rainy,361.1359165524447,4,119,18-25,Female,0.1354535126074352,0,Good,2,2,Moderate,1,0,37.95073591364856,3173.660366701525,Icy,Distracted Driving,8,21970.235725640785,18410.2186102299,North America,2176.1663614519484
251,2006,March,Friday,Night,Rural,Highway,Rainy,264.0984852845924,3,111,26-40,Male,0.2405806798808634,0,Good,0,0,Minor,2,4,51.286463781131815,7439.11109787973,Icy,Distracted Driving,4,24298.89099148291,68040.36801190091,North America,4735.957383420177
256,2016,January,Thursday,Morning,Rural,Highway,Foggy,449.7720396652169,1,39,41-60,Male,0.0498863825998412,0,Moderate,0,1,Moderate,1,3,50.89437053322931,9342.366658807294,Icy,Mechanical Failure,1,37351.56995327747,57688.02405319416,Australia,4112.901198065839
257,2021,April,Sunday,Evening,Urban,Main Road,Foggy,138.47170570588324,4,48,18-25,Male,0.0712300941938676,0,Moderate,0,0,Moderate,8,0,31.408395673382632,8524.573607489985,Icy,Distracted Driving,0,15655.84056378936,78715.01096103615,Europe,312.8287276030735
259,2012,June,Wednesday,Afternoon,Urban,Street,Rainy,484.04587932111326,4,72,18-25,Female,0.103981926621756,1,Moderate,1,1,Minor,19,3,56.46030697887368,7099.621195663598,Wet,Mechanical Failure,7,20877.728054333347,76318.69984990393,North America,1467.8976238006176
264,2015,December,Saturday,Afternoon,Urban,Highway,Windy,379.2637322948928,2,116,18-25,Female,0.1730568501369956,1,Moderate,2,0,Minor,1,1,53.55120746971737,2942.4471313956005,Dry,Drunk Driving,3,39480.16485781808,34928.84838966019,Europe,1403.772221953461
279,2023,March,Friday,Morning,Rural,Highway,Foggy,380.96481024116224,2,91,18-25,Male,0.043935625493047,0,Good,1,0,Moderate,17,2,48.23078368647636,2624.5208128482386,Wet,Drunk Driving,5,44870.32595100119,76044.05217606982,North America,2692.7499729507217
285,2013,February,Saturday,Night,Rural,Highway,Clear,481.0182031342629,2,64,61+,Male,0.1181034613964797,0,Good,0,2,Severe,3,2,25.97522370714185,2635.4416643710915,Wet,Mechanical Failure,1,17245.000894046814,51745.94507071077,North America,3418.92133460583
297,2015,September,Thursday,Night,Urban,Highway,Rainy,413.5055230439133,4,95,<18,Female,0.0756695347435177,0,Moderate,1,1,Minor,11,4,55.77238929478544,3227.7138320078693,Snow-covered,Weather,0,26445.541508712977,72145.614208751,Europe,1171.7548397323696
309,2014,October,Wednesday,Morning,Urban,Main Road,Rainy,477.73878546121415,4,104,<18,Male,0.1607894661021818,0,Good,1,0,Severe,15,2,42.785597598800805,7832.620173533476,Wet,Weather,4,2457.6557684879062,31714.11062076305,North America,2146.6221696301263
312,2009,October,Saturday,Night,Rural,Street,Windy,363.27035703587546,4,91,<18,Female,0.0536162465285848,0,Poor,1,0,Severe,13,4,8.326564990090782,4909.847484838447,Icy,Mechanical Failure,1,16941.17238074378,14282.45417706948,Australia,3507.147135356818
314,2002,November,Sunday,Evening,Urban,Highway,Windy,247.86825147189776,2,64,61+,Male,0.1406278305154019,1,Moderate,1,1,Moderate,0,2,24.99917121828658,2616.555892841486,Wet,Weather,9,5786.363646387724,18858.694569769257,South America,183.28896207346563
323,2014,June,Sunday,Afternoon,Urban,Street,Snowy,383.6846751947048,2,78,18-25,Female,0.1912379892197815,1,Moderate,2,2,Severe,9,4,37.01759138047838,3513.3582648933098,Dry,Weather,2,18251.23382655702,40448.43019450789,Asia,4773.284665128032
326,2018,July,Sunday,Afternoon,Urban,Highway,Foggy,202.75175270874468,3,43,<18,Female,0.1777422387945882,1,Poor,0,2,Minor,6,3,51.765027537721394,6573.033022376303,Icy,Mechanical Failure,9,19619.786790748225,47437.2530150708,South America,4765.308091049761
331,2018,September,Saturday,Morning,Rural,Highway,Clear,165.96457505081065,1,35,41-60,Female,0.2429661912916455,0,Good,1,1,Minor,15,2,46.2816084656583,438.8825870756103,Icy,Drunk Driving,9,19457.98294900544,3581.107050477096,Europe,3790.8948759385567
343,2005,June,Tuesday,Evening,Rural,Street,Snowy,109.85530781308124,4,67,61+,Female,0.1925709643890209,1,Good,2,2,Severe,16,4,30.625128735523145,5799.616740369299,Wet,Drunk Driving,4,20065.38310339584,75628.01966922816,Europe,1604.9898800935796
345,2004,September,Thursday,Evening,Urban,Highway,Clear,263.5064773944488,4,30,<18,Male,0.0898394337363261,1,Poor,2,2,Severe,8,4,27.898862147985163,1962.303421575516,Wet,Speeding,7,26805.676647858465,4762.104107811894,North America,4192.594717581716
355,2021,September,Sunday,Night,Rural,Highway,Clear,435.035051328228,1,69,41-60,Female,0.2396603081529195,1,Good,2,2,Minor,8,1,43.79180168577676,649.0660501054066,Wet,Distracted Driving,3,37379.38884715952,5580.045849186653,Europe,3624.2701851759184
362,2015,June,Wednesday,Evening,Urban,Main Road,Snowy,183.9408914168311,2,40,18-25,Male,0.0500179371470635,0,Moderate,1,1,Moderate,12,4,23.660967421020697,8989.362471459852,Snow-covered,Speeding,4,48618.40754321111,4836.418147788658,Asia,1079.5486399029892
367,2015,January,Tuesday,Morning,Rural,Street,Clear,229.65669260110135,4,106,26-40,Male,0.0945753271461218,0,Moderate,1,1,Minor,15,1,48.20966905070319,4023.620512286516,Icy,Weather,9,22240.971473732552,6587.962358177665,South America,1991.156079795469
370,2000,May,Sunday,Morning,Rural,Highway,Foggy,294.9347628527768,1,48,18-25,Male,0.1236451698757141,1,Good,2,2,Severe,1,0,30.90665796581757,1419.5762991431282,Dry,Speeding,2,17613.675293005712,49057.19320772711,Europe,4073.282075130525
378,2013,December,Monday,Night,Rural,Highway,Rainy,190.25819197490551,3,37,41-60,Female,0.0830913136151312,1,Good,2,1,Moderate,15,2,49.47950371970423,4883.059354568924,Snow-covered,Speeding,5,37011.41037472612,47426.44001984114,South America,29.312036001912155
383,2004,May,Monday,Afternoon,Rural,Main Road,Foggy,453.1108321473886,2,114,26-40,Female,0.1044774127212794,1,Good,2,2,Moderate,0,3,44.41217313709845,5118.772658839097,Dry,Drunk Driving,7,11106.060553631372,59421.61085872439,Asia,812.6726295689474
390,2017,October,Friday,Night,Rural,Highway,Foggy,191.95557838671357,1,30,18-25,Female,0.1324904301888192,0,Good,2,1,Moderate,12,3,33.52138541200655,1724.574628923412,Dry,Mechanical Failure,8,43943.49490939216,82830.10863529978,Europe,4223.60265995064
404,2013,September,Wednesday,Night,Urban,Street,Windy,209.733417162022,1,56,18-25,Female,0.1355689752049964,1,Good,1,2,Severe,9,4,16.544720071737004,7738.445024810949,Wet,Speeding,4,24473.543548228485,52970.20910320157,North America,2164.5617044740807
410,2011,April,Saturday,Morning,Urban,Highway,Foggy,50.85849154112268,1,43,18-25,Female,0.0032895081108909,1,Good,1,0,Minor,19,1,29.001668280423427,667.6256758475098,Wet,Mechanical Failure,5,12197.81047400197,9022.96949264987,South America,1657.7964591974658
416,2022,November,Thursday,Morning,Urban,Main Road,Snowy,434.5284136225817,2,113,<18,Male,0.0958324044292884,0,Good,2,0,Minor,10,1,43.10684131693904,6194.93732076951,Icy,Mechanical Failure,6,35936.73417487959,27270.758291845523,Europe,3001.199809502263
421,2020,January,Tuesday,Night,Urban,Street,Rainy,220.9164313616949,1,78,41-60,Male,0.023311324931709,0,Moderate,2,1,Moderate,13,2,36.59673524251453,1137.1874856884212,Wet,Drunk Driving,2,22804.00313501358,57686.38083964567,South America,4130.03340068715
423,2002,May,Wednesday,Afternoon,Rural,Highway,Rainy,76.25403234906416,4,40,26-40,Female,0.1608619531487096,1,Good,0,1,Moderate,3,3,26.697713419892303,7734.146946966131,Wet,Distracted Driving,0,26527.22775368442,16152.91569242404,Australia,4489.58899582999
431,2010,April,Monday,Night,Urban,Highway,Foggy,404.4765200594675,4,87,41-60,Female,0.0146872319651086,1,Moderate,0,2,Severe,6,1,28.81701656177316,8003.54364929759,Icy,Speeding,2,29078.942371828693,69767.96930527769,South America,816.4143343937069
437,2002,October,Tuesday,Afternoon,Rural,Street,Windy,242.4501556575537,2,81,26-40,Male,0.2252488825320882,1,Good,1,1,Minor,18,0,50.506937089683575,8864.78118547692,Icy,Mechanical Failure,0,18514.06912294394,84653.17336653454,North America,4203.881682948358
439,2020,October,Sunday,Morning,Urban,Main Road,Rainy,98.36293913090938,4,74,<18,Female,0.0807116834657835,0,Poor,2,1,Minor,18,3,20.277290056771555,275.2542485921217,Icy,Speeding,2,12276.420854131502,99881.16158103972,Asia,487.90747573269056
452,2021,December,Wednesday,Night,Rural,Highway,Foggy,448.9854982086487,4,97,26-40,Male,0.1798035643501971,0,Moderate,2,1,Severe,10,0,24.517594053195204,6594.592337432515,Snow-covered,Weather,4,26534.07936302832,96630.54590600028,Australia,3874.8062119606734
459,2002,August,Sunday,Morning,Urban,Street,Rainy,111.51964704668802,3,50,18-25,Female,0.1899886016529429,1,Good,0,1,Minor,9,3,29.12016566551901,4814.0641895325925,Dry,Weather,0,29030.987396429296,62887.59124097709,South America,1198.316255369331
488,2000,June,Sunday,Morning,Urban,Street,Clear,452.3189712036506,3,113,<18,Female,0.0909211575667263,0,Moderate,0,1,Severe,7,2,32.42699071352833,9356.856230701178,Icy,Speeding,9,44068.01365560443,45001.9739612917,Europe,2904.20426187767
489,2000,September,Thursday,Night,Urban,Main Road,Rainy,221.18855358211763,2,115,41-60,Male,0.0871843912636599,1,Moderate,0,0,Minor,16,1,12.841053816144807,9003.880501179561,Snow-covered,Distracted Driving,5,2290.115965840185,18432.746731759784,Europe,758.5899258156268
502,2012,March,Monday,Afternoon,Urban,Street,Snowy,375.63803713645086,2,87,41-60,Male,0.1639491263267049,0,Poor,0,1,Minor,4,0,10.710757071936978,6307.178139934602,Icy,Mechanical Failure,3,9870.390965406452,58676.374087853525,Australia,4847.381364755266
522,2001,August,Tuesday,Morning,Rural,Highway,Windy,147.14859407292982,2,89,18-25,Male,0.1411513697983424,1,Moderate,2,2,Moderate,17,2,40.572598968608,2144.318451344806,Snow-covered,Speeding,7,42362.29932036084,80110.31711224934,Australia,1929.2586738183488
536,2006,May,Thursday,Evening,Rural,Street,Rainy,424.08769689194736,3,106,18-25,Male,0.0055592116459156,0,Moderate,1,0,Moderate,8,4,52.7741184313706,5623.977748354103,Dry,Weather,5,22973.18704783108,2327.4713662060785,Australia,2397.0107492494594
543,2011,June,Tuesday,Night,Rural,Street,Foggy,298.3865737129146,4,35,61+,Female,0.0790260529423369,0,Poor,1,2,Moderate,19,3,14.236775491536685,1493.6224770631031,Icy,Weather,8,8818.114015942963,84445.92418786847,Europe,3423.080299796409
559,2007,January,Saturday,Morning,Rural,Street,Rainy,51.33228384450898,4,35,41-60,Female,0.1761721614609238,0,Moderate,1,0,Severe,0,2,51.73393754354367,7228.782871094485,Dry,Weather,0,22485.860011733388,59345.952270727255,Asia,3682.1297618084095
574,2022,April,Tuesday,Morning,Rural,Street,Windy,431.2895667656019,3,49,61+,Female,0.0581862982856091,0,Good,1,2,Severe,0,0,42.21114322553729,1254.2999108001848,Icy,Mechanical Failure,5,31964.253681451417,83680.29589961065,North America,4058.1809981098654
575,2008,June,Saturday,Afternoon,Urban,Highway,Windy,119.40558452602365,2,113,<18,Female,0.2379345685350639,1,Poor,1,1,Moderate,10,1,22.66324489592214,3144.4069421152785,Dry,Distracted Driving,6,14528.818964140595,47637.306543529245,South America,2328.927154872404
577,2023,May,Saturday,Morning,Urban,Main Road,Rainy,217.48218811175232,2,38,18-25,Male,0.149809564231371,0,Moderate,2,0,Moderate,18,1,58.42045270694786,1042.2079690648334,Dry,Speeding,7,8339.653470142166,20167.13546665572,South America,2185.9659394351443
578,2023,October,Saturday,Evening,Urban,Street,Snowy,67.14681298503152,1,85,61+,Female,0.0719598409587569,0,Good,0,2,Moderate,3,0,21.46183622994061,1305.6702965878235,Dry,Drunk Driving,8,44227.00772721175,53069.611821904655,North America,1359.683065432425
585,2013,January,Monday,Night,Rural,Highway,Windy,344.99244288433414,3,79,61+,Male,0.2314417628665022,1,Poor,1,2,Minor,18,3,23.755600769204616,819.7351760402689,Icy,Distracted Driving,6,25464.970053376837,97412.54261907976,South America,1713.6794785550776
597,2024,October,Wednesday,Afternoon,Rural,Street,Clear,277.3553245799181,2,78,61+,Male,0.0358714803224624,0,Good,0,2,Minor,6,4,49.61530393154455,4350.999795438942,Icy,Speeding,4,31762.76535386528,48322.89007288796,Europe,2864.054588752702
611,2010,July,Wednesday,Night,Rural,Highway,Clear,311.58921469404567,2,116,<18,Male,0.0619795752573263,1,Poor,0,2,Moderate,7,2,41.591725828534734,1943.3291809378563,Dry,Weather,5,19716.22106714745,75139.5928489252,Europe,202.5505003093436
629,2010,November,Thursday,Night,Rural,Street,Snowy,226.66029701821304,1,100,18-25,Male,0.1852324192400408,0,Poor,0,0,Moderate,12,2,30.62230248734386,9753.672510829436,Dry,Mechanical Failure,9,3594.429073871798,72502.94593652982,Australia,284.77879272522733
647,2014,June,Tuesday,Night,Rural,Highway,Rainy,259.0849526538846,1,114,<18,Male,0.1425553032429756,0,Moderate,0,2,Minor,4,0,19.87543194840256,9362.644202276451,Dry,Drunk Driving,7,25955.72055242621,9375.931103698163,Asia,1778.265065548427
653,2022,March,Thursday,Afternoon,Urban,Main Road,Clear,214.64493722337508,3,83,26-40,Female,0.0312815083502843,0,Good,1,1,Severe,0,2,54.41610494700517,854.9923951329432,Snow-covered,Weather,3,49805.18200874564,71803.44468058355,Australia,2199.1783402758883
693,2005,October,Friday,Night,Rural,Street,Rainy,261.84176709168173,1,116,18-25,Female,0.240441878406627,0,Moderate,0,1,Severe,12,2,35.77380228328785,5413.108192754283,Snow-covered,Mechanical Failure,9,45907.70273467687,80038.46093323777,South America,3115.715291668648
703,2004,April,Sunday,Evening,Rural,Street,Clear,499.6094588015988,3,118,26-40,Female,0.1306666949040278,0,Moderate,0,0,Minor,4,3,19.102625989257533,5039.9404342809685,Icy,Distracted Driving,9,42669.68562781517,66103.59779199955,Australia,4284.559733645916
708,2002,October,Friday,Morning,Rural,Street,Clear,490.66525069179806,3,109,41-60,Male,0.0404859046342999,1,Poor,0,0,Severe,2,3,29.95991824791187,4409.137877507054,Wet,Weather,0,13348.024650212828,33209.35739923781,Asia,2199.40159466178
709,2023,June,Sunday,Afternoon,Rural,Highway,Foggy,65.31125697892328,4,70,<18,Male,0.2026889168416958,0,Moderate,1,1,Minor,1,1,39.90149440498754,9851.493366133804,Wet,Weather,0,12905.164959511118,5693.071965350825,North America,4101.92983864918
723,2002,July,Sunday,Afternoon,Urban,Street,Snowy,119.28699718466866,1,30,18-25,Male,0.0250128655821499,1,Moderate,1,1,Moderate,12,1,25.9379272345793,493.3793302213159,Wet,Mechanical Failure,4,10031.96278750603,3777.168250702283,South America,1017.3568461710316
739,2003,June,Tuesday,Morning,Urban,Main Road,Rainy,341.66314379629824,2,51,26-40,Female,0.0892543209367081,1,Moderate,0,0,Severe,5,0,59.64203320279138,6591.050546637418,Icy,Speeding,3,36821.228509622,24570.890321376308,Asia,1703.1154211096157
742,2018,May,Tuesday,Night,Urban,Highway,Foggy,77.53524329019407,2,87,<18,Female,0.2074731581947921,0,Good,1,0,Moderate,18,2,11.882474744017191,6164.488583344216,Wet,Weather,2,23927.57872410327,87331.03371193405,Australia,3784.0428298005463
764,2012,November,Wednesday,Night,Rural,Main Road,Foggy,381.12619621905054,1,63,61+,Female,0.1535814629795923,0,Poor,1,2,Minor,14,3,25.43839836477513,7421.170210043308,Dry,Drunk Driving,7,37732.83818017905,26966.99879973689,Europe,2068.5376657208426
766,2001,April,Monday,Morning,Rural,Highway,Snowy,268.93717600139047,3,55,18-25,Female,0.1895692576263003,1,Poor,0,0,Severe,17,0,33.055365493782176,3387.12793376309,Icy,Mechanical Failure,8,8708.88377380286,17804.930303287896,Asia,20.53182270943362
770,2001,June,Wednesday,Evening,Rural,Main Road,Foggy,124.44289020286276,1,57,61+,Male,0.2123246035491584,1,Poor,1,0,Severe,2,0,25.88003978018556,562.7299309076653,Snow-covered,Speeding,8,19946.32019829823,62048.07658152631,North America,4052.643494979313
771,2017,February,Sunday,Night,Rural,Street,Windy,160.37573341319762,4,71,<18,Female,0.0397869462546641,0,Poor,2,0,Severe,8,1,50.07085904466906,3223.761247916857,Icy,Speeding,7,27966.27377367283,7775.611766410535,Asia,1323.5803977270564
775,2000,June,Sunday,Night,Rural,Highway,Snowy,98.59199651104292,3,98,<18,Female,0.0473252084089071,0,Poor,1,2,Severe,2,2,9.73616922277166,6979.504638424151,Wet,Weather,3,39208.57905542424,25282.11612416134,North America,4254.430598209732
776,2000,December,Saturday,Night,Rural,Highway,Rainy,206.89444366139716,4,107,61+,Female,0.2443897545182682,1,Good,2,2,Minor,7,4,57.48338081103342,474.86850110018986,Dry,Weather,2,7274.88651350959,59439.43051331179,North America,4791.860379258341
780,2008,November,Friday,Afternoon,Rural,Highway,Snowy,96.76631263369217,3,33,<18,Female,0.0447603230552241,0,Moderate,1,2,Minor,13,0,54.80882836513049,4167.321121325938,Icy,Speeding,7,49985.4454060252,48890.5749247935,North America,474.3272125065648
781,2009,January,Monday,Morning,Urban,Main Road,Windy,483.8488830896032,2,66,61+,Female,0.2183424123892799,0,Good,2,2,Moderate,18,3,48.57519687786254,1605.8145773149604,Wet,Weather,4,37505.41903173983,75001.06161260608,Australia,4027.27995583289
788,2015,February,Tuesday,Evening,Urban,Highway,Foggy,143.6947746447231,1,103,26-40,Female,0.0579554033867852,0,Poor,2,1,Minor,5,4,22.303981444057825,6127.068405046298,Dry,Speeding,1,10476.527191740232,25298.709178298173,Australia,1900.9002360017769
795,2001,December,Thursday,Morning,Urban,Highway,Rainy,314.12432538018453,1,34,26-40,Female,0.1873699865984354,0,Moderate,2,2,Severe,8,3,54.478023228802456,6671.791751799466,Icy,Weather,5,25487.202990841684,91869.80037747434,Europe,4073.156031768516
797,2013,September,Saturday,Morning,Urban,Highway,Snowy,137.51582641966758,4,92,26-40,Female,0.225843966580433,0,Good,0,2,Severe,5,1,41.460534989110144,8727.313469201505,Dry,Distracted Driving,2,48588.8935539521,24619.1805267593,North America,1355.984762530042
813,2005,March,Tuesday,Night,Urban,Street,Foggy,181.73080779895744,1,48,18-25,Male,0.1631983647626962,0,Good,0,1,Severe,19,3,23.45225399642148,2769.8908624777278,Snow-covered,Mechanical Failure,2,38263.87866277072,94602.89514402594,Europe,3164.61979793318
825,2001,August,Tuesday,Night,Rural,Main Road,Foggy,240.36231171694607,4,91,<18,Male,0.113811191208555,0,Moderate,0,0,Severe,6,4,5.940118043494651,3398.4764877034577,Snow-covered,Drunk Driving,9,8712.622940164292,2516.902921828937,Asia,3130.0467807130035
828,2023,October,Sunday,Evening,Rural,Main Road,Foggy,283.38234641505125,2,51,26-40,Female,0.1248887888764608,0,Moderate,1,0,Severe,4,3,12.386099329425145,6842.842899682574,Wet,Mechanical Failure,0,12434.621793905511,73978.7530091009,North America,1777.966402777867
831,2013,April,Tuesday,Evening,Urban,Street,Clear,245.99653843695617,3,86,61+,Female,0.0010875014301005,1,Good,0,0,Minor,10,3,38.61240235802579,2533.666124841729,Wet,Distracted Driving,4,22685.73047794204,25208.136704025004,North America,3429.437991757564
832,2007,November,Thursday,Afternoon,Urban,Street,Clear,393.1362238437981,1,31,41-60,Female,0.1287183316680668,0,Moderate,2,1,Minor,5,4,40.93949289355261,1171.8586147876415,Icy,Speeding,9,22268.826399076806,18194.254469543223,South America,4182.676705409185
850,2014,March,Sunday,Evening,Urban,Highway,Windy,69.7526063243105,4,84,26-40,Female,0.0288157391990306,0,Good,2,0,Minor,5,0,5.213972965595696,9084.800024256663,Dry,Drunk Driving,3,11581.664604810188,88375.19600995451,South America,4149.704771255139
855,2022,April,Saturday,Afternoon,Urban,Street,Foggy,231.4470443976515,1,65,61+,Female,0.1890065877885555,1,Poor,2,0,Minor,13,2,55.999451659609385,8708.175713313532,Icy,Mechanical Failure,4,22701.059676926918,8520.056749543808,North America,1174.4774147598762
868,2011,July,Wednesday,Night,Urban,Highway,Windy,286.39297284973304,2,56,61+,Male,0.0661479589249818,1,Good,0,1,Severe,15,0,56.70604623339727,7828.74737367173,Wet,Weather,9,22765.388021273848,98670.92171985393,Asia,1166.4036888095034
892,2024,October,Tuesday,Evening,Rural,Highway,Clear,222.13023259220532,1,51,41-60,Female,0.060071455892729,1,Good,2,0,Moderate,18,3,38.588274177267984,2724.396442370587,Snow-covered,Mechanical Failure,3,49165.03780134179,74460.04096504337,Australia,3052.143509721948
903,2015,September,Sunday,Afternoon,Urban,Highway,Clear,53.13425608254212,2,41,61+,Female,0.0258138384626619,1,Moderate,2,1,Moderate,3,2,25.235266390666943,8018.657793796815,Snow-covered,Drunk Driving,9,31583.857392976613,66054.48578079531,South America,3897.047218987216
905,2011,February,Tuesday,Night,Urban,Highway,Windy,420.5558791214583,3,64,18-25,Female,0.1323138300715237,0,Moderate,2,0,Minor,0,4,16.736274172013438,2306.508555889277,Wet,Distracted Driving,3,7530.1676148346305,67951.96215364823,South America,193.54085816143316
915,2001,September,Sunday,Night,Rural,Main Road,Foggy,489.7325268172064,2,33,61+,Female,0.0649122551545352,1,Good,2,2,Minor,13,2,24.69540749647814,6172.894742670495,Snow-covered,Weather,8,44075.32411109664,54745.05428823512,South America,2949.068636634483
