,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
492,2013,December,Friday,Morning,Rural,Highway,Clear,373.6716059618956,4,66,18-25,Male,0.0950968545739174,1,Good,1,2,Minor,0,3,11.58370577812444,2561.9887561075693,Dry,Mechanical Failure,1,12795.274287091244,7270.116542341804,South America,860.7738949091796
496,2000,April,Sunday,Night,Rural,Highway,Foggy,62.23923253453457,3,54,18-25,Male,0.0397331757694381,0,Moderate,1,2,Minor,1,2,38.01632287698073,3848.0386601193504,Snow-covered,Weather,1,12265.51308069778,48592.83476546335,South America,452.3747497595834
514,2023,October,Saturday,Evening,Urban,Highway,Foggy,216.4490245986848,4,118,18-25,Female,0.027965191200769,0,Poor,0,1,Moderate,18,2,7.259295248587824,946.2498889729286,Dry,Distracted Driving,9,12698.72924707272,76056.38148000257,North America,1158.4240495030713
530,2015,August,Sunday,Morning,Rural,Highway,Rainy,391.54425014131255,2,31,61+,Female,0.2225992076384467,1,Poor,1,1,Moderate,6,3,12.966139395165962,4348.955822064043,Snow-covered,Speeding,2,12260.42140156679,50660.23140779314,Australia,3965.192646059414
542,2008,November,Monday,Evening,Urban,Main Road,Windy,94.9372077804741,1,101,<18,Female,0.0791540420732455,0,Poor,0,0,Minor,17,1,49.6574266218691,8740.027590426971,Icy,Weather,0,14117.415257190918,8740.355132023142,Asia,4025.019441200848
553,2014,June,Saturday,Afternoon,Urban,Highway,Rainy,129.35241809213414,2,48,<18,Male,0.0304741344201293,0,Good,2,0,Minor,7,4,13.473744174989582,9713.93837821636,Dry,Speeding,4,22551.518131262797,19344.661834591137,Australia,1007.669136241222
561,2021,December,Sunday,Morning,Urban,Main Road,Snowy,173.201176177293,4,107,18-25,Male,0.0538083820773226,0,Good,1,1,Severe,3,4,14.833515799412112,676.1693789442535,Icy,Drunk Driving,7,5056.68767270369,81257.94706499904,South America,4013.385612572776
572,2005,March,Monday,Morning,Urban,Main Road,Foggy,76.90276768076534,2,45,61+,Female,0.0173830937384157,1,Poor,2,1,Minor,14,2,12.269898519176165,1202.936855855156,Snow-covered,Distracted Driving,4,21529.81342252617,14112.773597902917,Australia,3452.341432412931
593,2004,March,Saturday,Morning,Rural,Highway,Clear,469.10210122001337,2,86,<18,Male,0.1643576310487798,0,Moderate,2,0,Severe,16,2,20.896009655522192,6171.570198159756,Dry,Distracted Driving,1,24529.90257199424,64469.42684144227,Asia,4058.702631691585
636,2008,July,Sunday,Night,Rural,Street,Windy,404.2252841712181,2,61,18-25,Male,0.2434265642913475,1,Good,2,1,Severe,12,0,31.02801735989533,5164.076890136786,Dry,Mechanical Failure,4,5230.323263604911,36113.53496489692,North America,2582.6708208690848
643,2017,March,Thursday,Afternoon,Urban,Highway,Clear,180.72515596620923,2,108,41-60,Male,0.0329886103027272,1,Moderate,0,0,Severe,17,4,51.04370988506321,2698.664746191562,Snow-covered,Weather,0,14421.092558801976,55563.70487062635,South America,2832.501504670693
645,2001,June,Tuesday,Morning,Rural,Street,Windy,465.5214754427603,3,72,<18,Male,0.0959456238500578,0,Moderate,1,0,Minor,10,0,50.620975723737416,8796.130148561226,Icy,Weather,5,38726.48552195927,76202.828951025,Australia,1448.84517576993
654,2017,November,Monday,Evening,Urban,Highway,Windy,295.9238046607354,2,38,41-60,Male,0.1517866464046301,0,Poor,2,0,Minor,14,3,33.616366113542,6212.186660546935,Icy,Weather,0,49452.709783337465,31830.253865854134,Europe,3834.671703610852
671,2007,March,Saturday,Night,Urban,Main Road,Foggy,420.67699893369576,3,52,18-25,Male,0.0996788251491924,0,Good,1,2,Severe,14,2,26.68187058304731,2347.590776945659,Dry,Weather,0,12284.369460912516,55920.05128881454,Europe,3148.497628725286
673,2013,June,Monday,Night,Urban,Main Road,Clear,224.87854396619792,4,113,18-25,Female,0.2068532816794689,0,Poor,2,2,Moderate,4,3,49.89292433302514,4245.029233344402,Wet,Distracted Driving,2,21972.860829465422,31364.090214343032,Europe,1881.8814909326852
675,2015,February,Saturday,Afternoon,Urban,Street,Windy,480.4155715305428,3,71,41-60,Female,0.2461390165671656,1,Moderate,2,0,Moderate,1,4,34.451108843860624,452.1449018939648,Wet,Mechanical Failure,8,45789.17358214632,18488.84071217852,Australia,4506.959923292825
681,2016,November,Tuesday,Afternoon,Urban,Highway,Windy,312.2749602071471,1,118,26-40,Female,0.0558328347636659,1,Good,0,0,Moderate,13,4,46.81555330795848,1203.567446208362,Snow-covered,Drunk Driving,1,41813.60963150602,48012.91181065463,Asia,2133.221305715399
706,2013,April,Tuesday,Afternoon,Urban,Main Road,Rainy,331.02162640621583,1,68,18-25,Female,0.0152004309997805,1,Poor,0,1,Minor,14,1,5.301891736447212,4564.639023226337,Wet,Mechanical Failure,5,39863.28724892868,30541.44961255629,Europe,4954.601881896652
717,2009,October,Saturday,Night,Urban,Main Road,Rainy,74.87687097106907,1,35,18-25,Female,0.2443548204537333,0,Moderate,1,2,Severe,11,0,5.187623323146108,4074.28657706894,Snow-covered,Drunk Driving,6,47591.9118344852,96452.5675882613,South America,4858.717430442026
722,2007,November,Sunday,Morning,Rural,Main Road,Foggy,317.2326656625131,3,102,26-40,Male,0.2324128712437994,1,Moderate,0,2,Minor,3,0,12.46391846381224,1507.7550045594844,Wet,Speeding,5,10794.288965925894,78249.65274883863,Europe,1012.1206684828802
736,2023,May,Wednesday,Afternoon,Urban,Street,Windy,165.6546280536746,2,74,26-40,Female,0.1367134787628961,0,Poor,2,1,Severe,12,0,36.745307569419,1308.4879863744698,Dry,Weather,3,31599.291830717382,66730.97790393843,Australia,186.31132803869735
744,2020,April,Thursday,Morning,Urban,Highway,Snowy,325.471254024343,2,105,41-60,Male,0.046675728380302,0,Poor,1,2,Moderate,11,0,51.102916725310216,7844.276143514972,Wet,Mechanical Failure,8,43289.4743456329,45242.58712622102,Australia,342.2220090860949
753,2007,October,Monday,Morning,Rural,Highway,Windy,310.316576805967,2,51,<18,Female,0.2491287589784186,0,Moderate,0,2,Minor,13,2,36.0598636876854,8588.419459530289,Dry,Drunk Driving,8,13544.00423352785,1557.5781904116666,Europe,700.9865427128683
757,2006,February,Thursday,Night,Rural,Street,Foggy,58.67979016036574,1,117,26-40,Female,0.0436169830513991,0,Good,1,1,Severe,0,0,33.031231110340514,7290.339112925692,Wet,Drunk Driving,9,8074.474057112945,76624.70945884222,Asia,2446.4590121205
785,2015,November,Thursday,Afternoon,Rural,Highway,Foggy,394.8272211311013,1,92,61+,Male,0.0636993677748314,1,Moderate,1,0,Moderate,5,2,38.368335037148775,4751.54077350145,Dry,Mechanical Failure,4,25289.760013264717,62017.1214490238,Europe,3437.997127691896
803,2021,April,Monday,Morning,Urban,Street,Windy,460.1948799814525,2,111,61+,Female,0.0203227886456969,0,Poor,1,1,Moderate,1,4,10.05257846295208,1251.3238043994406,Wet,Mechanical Failure,6,43385.857720321925,41822.614738975964,South America,3631.0192098911302
806,2011,November,Saturday,Morning,Rural,Main Road,Rainy,258.210958044587,1,119,41-60,Female,0.2301244258604492,0,Good,2,1,Severe,4,1,13.122092132494425,2556.531224393412,Wet,Mechanical Failure,3,17554.754721559933,10175.992356015253,Europe,2749.297534031786
807,2019,January,Wednesday,Morning,Rural,Highway,Rainy,200.7927987840941,4,97,26-40,Female,0.2378277635174435,1,Poor,0,2,Minor,10,1,59.16440109808592,7749.149788803515,Dry,Speeding,3,44483.07839957271,28164.61287974015,Australia,4591.599098748831
812,2017,November,Tuesday,Evening,Urban,Highway,Rainy,80.5412128784537,4,53,26-40,Male,0.1528520588710405,1,Good,2,2,Moderate,19,4,27.2181283765325,4147.838954662919,Icy,Speeding,3,38323.985565185234,92268.94312569904,North America,228.272793312634
827,2002,May,Tuesday,Evening,Rural,Highway,Windy,150.4817308084103,1,52,41-60,Male,0.2008426241780004,0,Poor,2,1,Minor,1,2,58.94915800524643,6064.865727713005,Icy,Speeding,1,12689.856003124823,25572.96781959597,North America,3063.8274645916126
833,2005,July,Wednesday,Evening,Rural,Highway,Clear,326.32313114472515,4,83,<18,Female,0.0624364280214216,0,Poor,0,1,Severe,19,4,54.85431545971133,6513.833789529327,Dry,Speeding,1,28225.094885812377,76655.59934282782,North America,4961.885250494304
837,2001,August,Monday,Evening,Urban,Street,Clear,84.76920842811597,4,84,<18,Male,0.0906802112042545,1,Moderate,1,0,Moderate,6,1,15.116816202958685,9404.226511584891,Snow-covered,Mechanical Failure,4,47266.62561431188,8865.049460378745,Australia,880.903845101027
841,2005,August,Sunday,Morning,Urban,Street,Windy,362.3938551443086,3,49,41-60,Female,0.0575867518450908,0,Good,2,2,Moderate,14,4,39.64235393875553,2656.999531833316,Wet,Speeding,3,11899.057108866044,40056.73964267896,Asia,1423.8307130419737
865,2002,March,Sunday,Evening,Urban,Street,Windy,62.66584581233616,2,46,41-60,Female,0.2013313375225459,1,Moderate,1,0,Moderate,9,4,12.20259857541279,3146.3590535001645,Snow-covered,Weather,1,33046.17731007769,57181.68546371777,North America,2845.5916467271427
866,2005,December,Monday,Morning,Urban,Highway,Windy,338.5791088571345,1,69,<18,Female,0.1373182716713093,0,Poor,1,2,Moderate,17,3,18.660252240629383,1472.689229208579,Wet,Weather,1,6237.581532295295,16847.732282500994,North America,587.0734753929531
867,2024,April,Friday,Night,Rural,Highway,Clear,265.3441744368615,2,54,18-25,Male,0.0895067788072728,0,Good,0,0,Moderate,8,3,41.79965371614905,1879.6718108010496,Dry,Mechanical Failure,0,42235.35518718821,46452.90785731478,Asia,1565.6329234152258
879,2022,September,Thursday,Night,Rural,Street,Clear,425.5872679662459,4,90,26-40,Male,0.1673495386917072,0,Moderate,2,0,Minor,13,0,38.73421982960303,4035.278636180284,Icy,Speeding,2,7534.762031131025,20643.828257614063,Australia,3275.434508659541
880,2002,May,Friday,Morning,Rural,Highway,Snowy,102.41421977170228,4,103,26-40,Female,0.2012398610259312,0,Poor,2,1,Severe,8,0,47.52619069041684,9104.277151391098,Snow-covered,Drunk Driving,4,4107.429342631414,34159.59048045706,North America,1687.003817857683
916,2013,April,Saturday,Night,Rural,Highway,Windy,410.3051935046506,2,49,61+,Female,0.0168517680268179,0,Good,0,0,Severe,6,4,31.248624532369718,7516.222740939093,Dry,Drunk Driving,8,17995.053995980496,55237.09709597284,Australia,3219.460859083385
936,2021,August,Tuesday,Night,Urban,Highway,Foggy,451.6337023803386,2,61,26-40,Male,0.0017307374193722,0,Good,2,0,Severe,18,2,17.43337452772717,7971.449699551121,Snow-covered,Mechanical Failure,3,8173.865754806906,26771.57576444752,Asia,4165.488691766652
938,2008,April,Tuesday,Morning,Urban,Main Road,Snowy,389.1657123308129,3,84,18-25,Male,0.0606024706601723,0,Poor,0,1,Severe,2,2,24.180385586103387,9679.37014849672,Icy,Distracted Driving,0,12366.59997206225,73353.49124796783,North America,944.5157854332616
974,2018,March,Tuesday,Evening,Urban,Main Road,Clear,260.68597680271125,2,44,41-60,Male,0.2154461626995586,1,Poor,0,0,Severe,18,2,24.573563405521355,9983.439027710408,Dry,Distracted Driving,0,41781.97130437672,12388.832208892589,South America,3428.2879781156
979,2000,May,Saturday,Afternoon,Rural,Main Road,Snowy,111.65320793720782,1,115,61+,Male,0.0710310640394494,0,Good,0,2,Severe,1,1,28.87958970610362,7288.009297460531,Icy,Speeding,9,46981.27281625695,96565.8313727664,Europe,3123.7294207692066
985,2012,October,Tuesday,Evening,Rural,Street,Clear,333.4757297866119,1,43,26-40,Female,0.0753323167413011,0,Poor,1,0,Severe,6,0,7.530099578975324,3892.500770102944,Wet,Weather,6,24184.641423770838,39284.44590227523,North America,4727.315080682944
1017,2022,January,Thursday,Night,Urban,Main Road,Rainy,414.4404311364143,3,64,41-60,Male,0.0004826629685526,1,Good,1,0,Severe,17,0,34.52051207030684,6651.63001255548,Snow-covered,Mechanical Failure,0,22117.534442067365,40757.00693553308,South America,2133.786921239757
1023,2013,November,Wednesday,Night,Urban,Street,Foggy,211.07283509452824,2,78,26-40,Male,0.2289828897250062,1,Moderate,0,1,Moderate,14,1,34.82037821304569,2761.419511504274,Dry,Drunk Driving,8,47993.27946331439,7776.215696519609,Asia,3529.656032580863
1027,2014,August,Tuesday,Night,Rural,Main Road,Clear,201.52127629803715,3,60,<18,Male,0.1669178840184459,1,Moderate,1,2,Moderate,0,2,17.192471219352328,1451.9490461618318,Snow-covered,Speeding,9,43462.13579210606,6770.852446407105,Asia,2179.1063336112
1031,2019,May,Saturday,Morning,Urban,Highway,Snowy,256.4246478132485,1,52,<18,Female,0.2004719064874241,1,Good,1,0,Minor,8,1,54.4363126860261,9548.923006590525,Wet,Drunk Driving,4,4123.432832143867,79405.54336056868,Europe,3910.6906124101047
1033,2012,June,Friday,Morning,Rural,Street,Rainy,79.81875940542864,2,51,<18,Female,0.0595008006971403,1,Moderate,0,0,Minor,8,3,27.234243992731347,684.9278921071701,Dry,Distracted Driving,7,23212.186167089625,15501.754363941973,South America,740.033541164228
1046,2007,May,Thursday,Night,Urban,Street,Foggy,230.99366506125105,1,90,41-60,Female,0.2185428922710844,1,Good,0,1,Moderate,13,2,7.56008238833431,760.0764283294628,Icy,Speeding,3,41774.75092535662,19598.915135406587,Australia,73.04191471110192
1056,2019,September,Thursday,Evening,Rural,Street,Windy,402.0988786146201,2,107,<18,Female,0.1691429756516133,1,Poor,0,1,Severe,13,0,31.603084005832745,6710.356766131428,Icy,Weather,6,8186.299609510086,81468.55154274926,Europe,2939.7894709130924
1059,2021,February,Wednesday,Evening,Urban,Street,Foggy,474.1687199048947,2,103,41-60,Female,0.0959567374333523,0,Moderate,0,1,Minor,13,4,21.19662916210501,9823.422219482483,Dry,Speeding,7,25562.272627211,57714.04686130388,Europe,1564.1193911598073
1076,2001,September,Tuesday,Afternoon,Rural,Street,Windy,154.68878006992395,1,86,18-25,Female,0.2167545258777916,0,Poor,2,1,Severe,5,3,32.25788008137715,4097.672033237983,Wet,Distracted Driving,2,47512.6904184757,85298.07006925117,South America,3915.757738659368
1084,2022,March,Wednesday,Morning,Rural,Street,Rainy,263.4614326018228,4,110,18-25,Female,0.1195806806540618,1,Moderate,0,0,Moderate,12,3,50.64772010212511,6119.762959286707,Icy,Drunk Driving,5,43050.87376992614,65978.42077719468,Europe,2812.912201798916
1101,2002,March,Friday,Afternoon,Urban,Street,Foggy,155.64253123672594,4,42,<18,Male,0.1130971971516215,0,Poor,0,1,Severe,12,3,24.5112033544523,2375.2148445056864,Snow-covered,Weather,2,45177.375612630334,89877.39574861177,Europe,709.6272088786336
1106,2016,August,Saturday,Night,Rural,Main Road,Windy,93.65697191386472,1,93,41-60,Female,0.2360062597742115,1,Good,0,2,Minor,15,3,20.72121605741937,4953.608325765893,Snow-covered,Drunk Driving,8,23800.45647197392,90936.47769428416,Asia,2428.88356018508
1107,2021,August,Friday,Night,Urban,Highway,Windy,291.11285306600183,3,105,18-25,Male,0.0888600331335733,0,Poor,1,1,Severe,9,1,39.53867208869553,4237.243405908447,Wet,Speeding,1,17248.87924685583,81128.0293775187,Europe,2100.3555766235318
1119,2012,January,Saturday,Morning,Rural,Main Road,Foggy,155.19580945185027,4,118,18-25,Male,0.1063897957648122,0,Poor,2,2,Severe,15,1,27.086439668866028,1090.3136595543317,Dry,Drunk Driving,3,24884.93913935848,50467.07400534613,Asia,4957.401933883622
1120,2003,June,Monday,Afternoon,Rural,Highway,Foggy,269.0273861228287,4,44,61+,Female,0.1978570427545873,0,Poor,0,1,Severe,18,2,18.17646601721976,2386.2348839980973,Wet,Distracted Driving,1,36082.764022559735,65914.09436699284,Europe,4618.767096178757
1137,2019,April,Thursday,Afternoon,Urban,Main Road,Rainy,381.22604636495146,4,66,<18,Male,0.0825395365114939,1,Good,1,1,Severe,17,2,15.7111444638058,5089.020987094685,Snow-covered,Weather,9,34601.04789281239,43899.73212646581,Australia,1067.9509102362183
1150,2003,January,Wednesday,Morning,Urban,Main Road,Clear,68.06995015346787,3,104,41-60,Male,0.1351449088821392,1,Moderate,0,0,Minor,15,0,30.446940211289323,4408.920517148611,Snow-covered,Weather,7,2142.1080472678705,39629.20124057162,South America,2957.4467771808177
1151,2012,December,Sunday,Morning,Rural,Main Road,Windy,148.73453593006434,2,46,41-60,Male,0.096320136954819,0,Poor,2,0,Minor,5,3,37.999040498300346,4627.604053322005,Snow-covered,Mechanical Failure,7,35418.80247831131,90202.75481188735,North America,4894.090849785436
1163,2018,September,Sunday,Morning,Rural,Main Road,Snowy,179.30930560797088,2,81,61+,Female,0.1793645452313932,1,Moderate,1,2,Moderate,16,0,16.7284337702816,4282.584289828238,Snow-covered,Distracted Driving,1,37590.24210265595,44155.44151121751,South America,4417.250283298713
1183,2001,April,Thursday,Afternoon,Urban,Main Road,Clear,155.63549022336844,1,66,41-60,Female,0.208994189031923,1,Poor,0,2,Minor,14,1,44.5045141323389,4157.162171964742,Snow-covered,Distracted Driving,3,26932.87678623012,45189.39218682651,Europe,2260.9788354420875
1193,2021,June,Saturday,Evening,Rural,Street,Windy,142.1251181881038,2,113,18-25,Female,0.1465200892285332,0,Poor,1,2,Moderate,12,2,36.96762413290932,4383.760595778353,Dry,Drunk Driving,3,41551.94721611497,5490.264302925467,North America,686.5699040360431
1194,2004,June,Sunday,Evening,Urban,Highway,Clear,328.8162310073807,2,101,61+,Male,0.1437009472089695,0,Moderate,2,2,Moderate,4,0,25.055781875485604,190.2710661018042,Icy,Drunk Driving,1,44707.55239245072,24861.990672673728,South America,516.8561250323221
