,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
222,2020,February,Thursday,Afternoon,Rural,Street,Rainy,367.0683025435671,4,109,<18,Male,0.1054900471489894,0,Moderate,0,1,Minor,16,2,25.98760562126932,6998.341206755807,Wet,Weather,9,46214.650890310775,23787.82299588133,South America,2046.2027034703067
223,2015,March,Saturday,Afternoon,Rural,Main Road,Foggy,494.1276962017712,3,32,41-60,Female,0.1354625431718212,0,Good,2,0,Minor,16,0,56.94098573560327,3190.881440550037,Snow-covered,Distracted Driving,3,45553.20465891298,38247.91903562736,Australia,4627.749765087027
224,2014,February,Wednesday,Night,Rural,Highway,Snowy,260.909639143812,4,50,18-25,Male,0.1577639846064572,0,Good,2,0,Severe,3,2,50.01946695107078,7515.6455190222305,Snow-covered,Mechanical Failure,8,23698.87149692565,77715.78101504967,Europe,12.71184202074752
268,2005,September,Tuesday,Night,Urban,Highway,Foggy,197.0700867303248,4,47,<18,Male,0.1439336966901016,1,Good,2,0,Minor,9,0,15.449014026132746,5270.573976816925,Wet,Drunk Driving,1,17441.518625329143,33663.68731555177,Asia,4277.504029816132
278,2011,October,Saturday,Night,Rural,Street,Foggy,451.8549810191825,2,48,26-40,Male,0.1769990541519683,0,Moderate,1,0,Minor,14,2,9.168675342244248,7164.797421860361,Icy,Speeding,9,27978.703768644624,16313.52581677889,Australia,2305.8380675123026
283,2000,June,Tuesday,Evening,Urban,Main Road,Foggy,137.89081400546362,3,84,61+,Male,0.1606926943309261,0,Poor,2,0,Minor,10,2,10.233666185359516,3138.6923269927684,Snow-covered,Drunk Driving,2,5877.868841696509,3376.728496908874,South America,4131.763778569589
305,2010,September,Saturday,Morning,Rural,Main Road,Rainy,174.52314838974522,3,71,26-40,Female,0.0694611546718352,1,Good,1,1,Minor,7,0,22.229054482122635,9585.203265587264,Wet,Speeding,2,29308.504770746484,99679.67503322962,North America,4460.338550552869
318,2013,May,Monday,Evening,Rural,Highway,Rainy,249.908394846076,2,55,61+,Female,0.1891828236781572,0,Moderate,1,0,Severe,5,1,29.636023288110152,6235.343651701058,Icy,Weather,3,26008.482482887648,45140.208800860826,South America,3402.237507856605
324,2002,October,Wednesday,Afternoon,Urban,Highway,Windy,336.55620502578216,3,39,41-60,Male,0.2146346204388048,1,Poor,0,2,Moderate,19,0,23.801524461006743,9450.761445797603,Wet,Mechanical Failure,3,47281.138001214335,89625.48637730698,Australia,2115.735140084068
334,2021,January,Monday,Night,Rural,Street,Clear,92.94913042904376,4,103,26-40,Male,0.0480015538237122,0,Moderate,1,2,Severe,1,3,51.69324782794814,7455.786691772246,Icy,Speeding,0,47487.809333025405,84564.88325102034,South America,2985.9469149220386
354,2023,October,Wednesday,Afternoon,Rural,Highway,Clear,413.6666928670194,3,114,41-60,Male,0.00013885685675,1,Moderate,0,0,Moderate,4,4,11.832714416864608,738.8271335166093,Icy,Mechanical Failure,9,25214.435752469468,11471.073400517518,Australia,1882.5238960103784
368,2020,July,Sunday,Evening,Urban,Highway,Foggy,422.6783269477016,3,82,18-25,Female,0.1281779354049697,0,Moderate,2,2,Minor,19,4,32.81919936282327,8722.581067306292,Icy,Mechanical Failure,6,18502.27952475958,9173.49474889686,South America,130.21880649077065
381,2000,September,Sunday,Afternoon,Urban,Street,Clear,464.8383138345253,4,69,<18,Female,0.2295293792419006,0,Good,2,0,Minor,16,3,30.013330757142302,555.7826622663551,Icy,Drunk Driving,5,16764.725943729736,93864.62426049449,Asia,1496.4460427092763
408,2024,May,Saturday,Afternoon,Urban,Main Road,Snowy,317.3529859152364,3,40,18-25,Male,0.13519005173287,1,Poor,1,0,Minor,14,0,44.0731214551494,2815.7827590925026,Dry,Distracted Driving,4,31247.975975692883,99869.4380048514,North America,1734.9823108024389
422,2005,February,Thursday,Afternoon,Urban,Highway,Windy,384.6313047728409,4,110,61+,Female,0.0061026813861111,1,Good,2,2,Severe,8,1,40.1587322130219,6106.729653240573,Dry,Mechanical Failure,5,33550.500433146844,10362.82558022943,North America,2389.8367276461
430,2006,July,Thursday,Evening,Rural,Main Road,Foggy,283.9789378692843,2,44,61+,Male,0.2218691562007308,1,Good,0,1,Minor,3,3,57.33720383519728,6325.245655796664,Icy,Weather,1,6117.493616793921,63415.34665810701,South America,4127.078025079084
441,2023,June,Thursday,Afternoon,Rural,Highway,Clear,427.91339789882926,2,80,18-25,Female,0.0468268382597021,1,Moderate,1,1,Moderate,10,2,35.60942078731533,2436.930716304033,Snow-covered,Drunk Driving,0,34944.28199782252,96814.42311014365,North America,917.038372414926
450,2015,June,Thursday,Morning,Rural,Highway,Clear,103.06586903383482,1,31,26-40,Female,0.0617852032691769,1,Poor,0,0,Severe,8,2,26.80682298368776,138.37086030584794,Dry,Drunk Driving,2,27306.87499109373,34084.66716719812,South America,2555.297367457757
454,2016,May,Monday,Evening,Urban,Highway,Snowy,364.4626462154714,4,55,61+,Female,0.1175531647958384,1,Poor,2,0,Minor,19,1,26.13662200133968,5530.252091002119,Dry,Distracted Driving,6,33394.3863156496,56623.49031732441,South America,4515.413605196402
455,2000,April,Monday,Morning,Urban,Highway,Rainy,70.14858457847772,1,72,41-60,Female,0.023594664564692,1,Moderate,1,1,Moderate,6,4,18.03871914117272,688.5135248447434,Wet,Mechanical Failure,9,34803.92325160544,54190.63854587095,Asia,2381.6743891462797
463,2017,June,Monday,Afternoon,Urban,Street,Clear,454.1938894750136,3,49,26-40,Female,0.0939974656158961,0,Moderate,2,2,Moderate,5,4,27.7723036907435,9076.07843418506,Dry,Mechanical Failure,7,38321.2459516967,46388.81710037666,North America,2592.5927997280933
509,2011,June,Thursday,Morning,Urban,Highway,Snowy,106.89483549857056,1,65,<18,Female,0.0669695431613978,0,Good,1,0,Minor,1,0,40.245285064328776,1962.5624506935176,Icy,Mechanical Failure,1,2285.616464498691,52952.24999125412,South America,2089.5531928308164
534,2023,August,Wednesday,Night,Rural,Main Road,Snowy,232.83060479582508,3,57,26-40,Female,0.1261578671258688,0,Poor,0,0,Severe,17,3,37.212592956035074,397.9718819595539,Icy,Speeding,9,31511.43700542509,42032.16087352215,Australia,618.6724893326843
538,2006,February,Friday,Afternoon,Urban,Highway,Foggy,437.6364603840586,1,103,26-40,Male,0.1519584626953131,0,Good,2,1,Severe,8,0,44.08112212448836,4594.6567714111525,Dry,Distracted Driving,8,37065.28392124848,15447.122943638124,Asia,1607.156174055417
557,2003,October,Thursday,Afternoon,Rural,Main Road,Windy,292.55145477080896,1,51,61+,Male,0.0705657687694016,0,Good,0,0,Minor,12,2,37.54315014701666,4312.5693186508015,Icy,Weather,1,3695.816087030764,21944.410275623348,South America,4142.391035563896
558,2005,November,Wednesday,Night,Rural,Highway,Clear,177.69597927477736,4,60,41-60,Female,0.2071153878653882,0,Good,1,2,Minor,6,3,30.899894206056512,438.8176482476453,Wet,Distracted Driving,0,29484.753736141385,60272.63375976434,North America,4971.371939334064
563,2012,January,Saturday,Evening,Urban,Highway,Clear,403.45622450206986,1,56,41-60,Male,0.073839807452017,0,Good,0,1,Moderate,15,3,53.220101620767416,7264.675748990763,Icy,Speeding,2,13036.294940809248,78552.34116835591,South America,3473.7761072013286
565,2010,November,Friday,Night,Rural,Street,Clear,433.1690176656157,1,57,26-40,Female,0.1318198832684984,1,Moderate,1,1,Severe,18,2,25.12587456530289,5349.710650015684,Snow-covered,Mechanical Failure,1,38809.76329841615,5585.267373348421,Asia,4040.116532118526
586,2002,August,Wednesday,Night,Urban,Highway,Snowy,136.12993092773684,1,48,<18,Male,0.2092908754549912,1,Good,2,2,Moderate,2,4,31.976052663380624,1554.6817728747858,Wet,Drunk Driving,3,41689.17382370079,15136.840915377968,Asia,1789.115129439263
594,2018,June,Thursday,Afternoon,Rural,Highway,Foggy,318.8652725633361,1,101,41-60,Female,0.0513735509538417,1,Good,0,0,Severe,12,3,49.75915027764853,329.98938476124374,Dry,Speeding,5,31151.760712175208,99888.74502299388,Europe,342.0679482641808
603,2008,December,Saturday,Afternoon,Urban,Main Road,Foggy,272.478783083507,2,52,26-40,Female,0.1476329959719783,0,Poor,2,1,Minor,8,3,26.4559067281344,8639.974090155043,Snow-covered,Speeding,0,13963.224710675093,1809.6155731461529,Europe,3313.6970636980345
608,2012,January,Friday,Afternoon,Rural,Street,Snowy,249.4350384645053,2,101,61+,Female,0.0016160018707694,0,Poor,0,0,Moderate,9,3,34.99959968666416,5267.513433305982,Wet,Weather,1,13358.683590964423,98631.87158406284,South America,1735.5722567621124
610,2010,December,Sunday,Night,Rural,Main Road,Rainy,456.4404879254295,1,73,<18,Female,0.204932389172933,0,Good,2,0,Moderate,15,2,51.9277901323875,1231.525395198102,Icy,Drunk Driving,4,22259.58449399543,67850.98712750868,Australia,1926.076024710714
616,2019,June,Monday,Evening,Rural,Highway,Rainy,226.821974385518,3,48,26-40,Male,0.0446359438973248,0,Good,1,2,Severe,13,2,51.427423745293495,5786.212191765829,Snow-covered,Mechanical Failure,8,18213.11264616267,22339.400430140373,Europe,3482.607017704444
619,2012,November,Thursday,Evening,Urban,Street,Snowy,130.2293017265846,3,83,<18,Male,0.1321927454679428,1,Good,0,0,Moderate,10,0,46.77062212363286,9914.714042519709,Snow-covered,Mechanical Failure,9,43570.80503906638,53025.24234149633,Asia,1247.0151937155229
624,2005,November,Wednesday,Morning,Urban,Street,Snowy,335.2746548987169,1,118,18-25,Female,0.217556858565247,1,Poor,1,0,Minor,15,1,20.47141408030827,6344.710431685272,Snow-covered,Weather,6,35748.54592356546,4089.3816989656025,Australia,2967.932481967208
627,2014,September,Monday,Night,Urban,Highway,Windy,194.3586003751973,2,50,61+,Female,0.1249746695082112,1,Good,1,1,Moderate,15,1,30.27308729668965,2219.743865045284,Snow-covered,Distracted Driving,9,31418.118621156784,44105.21941426492,Australia,3972.584344701984
628,2024,October,Saturday,Evening,Urban,Main Road,Snowy,227.272558139431,1,107,18-25,Female,0.0783126136021391,0,Moderate,0,2,Severe,17,0,57.21438389739686,2801.22471052365,Dry,Distracted Driving,8,3484.396716421255,58135.36255762111,South America,428.7004825460471
631,2015,May,Monday,Morning,Urban,Street,Clear,325.5137772766192,2,59,26-40,Female,0.0009742080944459,0,Poor,1,0,Severe,12,3,22.652182632099123,2750.192670643751,Snow-covered,Speeding,2,30088.920248962266,36260.24185855617,South America,3069.8267197715745
634,2000,September,Thursday,Night,Urban,Highway,Foggy,58.78033768508506,3,63,26-40,Male,0.0544446562381917,0,Good,0,2,Minor,9,3,24.63032023293201,3173.567885428868,Snow-covered,Distracted Driving,2,32521.680594756497,27692.951860288365,Europe,2913.336875983442
655,2010,July,Sunday,Morning,Rural,Highway,Foggy,139.27057158973832,3,42,26-40,Male,0.2455747933043616,1,Moderate,1,1,Moderate,5,0,55.21234818474212,460.3209142409824,Dry,Mechanical Failure,6,30732.428947837863,35456.49287171107,South America,1107.750507379938
659,2002,February,Sunday,Afternoon,Rural,Highway,Clear,486.0288195908694,2,98,18-25,Female,0.0534074158984587,0,Poor,1,1,Severe,18,1,19.167016964073103,7938.679043660511,Wet,Drunk Driving,4,1345.7051465631494,48316.24884818075,Asia,3131.5506428824915
678,2010,November,Friday,Afternoon,Urban,Street,Rainy,52.42293027980872,2,117,41-60,Female,0.0956924653870314,1,Poor,0,1,Severe,9,0,20.423949987375742,7921.553423180483,Wet,Weather,8,48895.65141553513,3917.6660577443336,Asia,1442.008843136582
684,2017,January,Wednesday,Afternoon,Rural,Highway,Foggy,326.4547606332811,3,46,26-40,Male,0.0112945345053473,1,Moderate,0,0,Minor,15,0,58.74734895319763,5724.382558360267,Icy,Speeding,9,11570.956193814423,31952.7123974962,Asia,3344.1153557270745
687,2018,November,Friday,Afternoon,Rural,Highway,Snowy,106.48767605953644,3,59,61+,Male,0.1317562619857488,0,Moderate,2,1,Moderate,10,1,41.00765461022846,5531.880921850533,Icy,Weather,6,28931.499123963,21183.00397030575,South America,1046.5723756451212
688,2013,March,Monday,Evening,Urban,Street,Rainy,205.1946337671876,4,43,41-60,Male,0.037180157622263,0,Moderate,0,0,Minor,18,4,40.6832974760324,5498.447265750019,Wet,Drunk Driving,0,12064.610579715449,96467.28109174952,Australia,4746.996338361812
713,2009,July,Friday,Night,Urban,Main Road,Rainy,439.6774450065289,2,98,26-40,Female,0.2456627889749283,1,Good,0,2,Moderate,6,2,7.861095129858872,9530.964368354294,Wet,Speeding,6,19891.652842173688,22447.46423637444,Europe,1569.4440073821893
720,2023,August,Tuesday,Morning,Rural,Street,Clear,51.59640100394186,3,100,26-40,Male,0.0799925587946659,1,Poor,2,1,Severe,7,2,49.727154189196895,7093.446344849406,Snow-covered,Weather,6,8216.4333864826,5164.8481330278,Europe,4012.2139388497926
728,2009,May,Wednesday,Evening,Rural,Street,Foggy,267.71591665869266,3,64,26-40,Male,0.13389583628025,1,Poor,2,0,Minor,3,2,27.445273193376995,3684.647320314057,Wet,Speeding,3,35519.08444614254,30597.89901141822,Asia,984.3472314966248
748,2007,August,Thursday,Night,Rural,Street,Rainy,485.6659795153403,3,75,18-25,Female,0.1808967121696819,1,Poor,2,2,Moderate,4,0,10.831784736177775,9371.093063914292,Wet,Distracted Driving,7,41911.02939509483,64512.16835642742,Asia,3062.668706771297
759,2001,December,Friday,Evening,Urban,Highway,Snowy,354.413193619115,3,93,18-25,Male,0.2487626478015151,0,Good,2,2,Minor,19,3,24.382237617723504,4890.66481596346,Icy,Speeding,2,19610.24624582337,84834.13869203704,North America,4508.608087653528
760,2004,February,Thursday,Morning,Rural,Main Road,Clear,163.38165227429027,2,80,41-60,Female,0.1615631730471639,0,Good,0,0,Severe,2,0,38.161594335654016,1302.6393577707247,Snow-covered,Distracted Driving,1,14627.89869653075,24702.805472808304,Europe,1033.459756086408
768,2000,May,Thursday,Evening,Urban,Highway,Snowy,443.21551366136606,3,94,<18,Female,0.0771832469725229,0,Poor,0,0,Moderate,7,2,14.933802081453887,6921.479998146145,Wet,Mechanical Failure,7,37521.4225451057,78752.8298695567,Australia,1636.9036493291533
774,2009,March,Friday,Evening,Urban,Main Road,Foggy,439.2228135830564,4,54,26-40,Male,0.1293260161730527,0,Good,0,2,Moderate,17,2,37.10119839676046,6219.592838478492,Snow-covered,Distracted Driving,0,13630.372509816068,32434.245998435305,Australia,4092.8347490774136
787,2002,May,Thursday,Morning,Rural,Main Road,Clear,333.73407251593954,1,36,26-40,Male,0.039710478531678,1,Moderate,1,1,Severe,15,0,12.900033357608168,4924.218363247495,Wet,Speeding,8,12029.408331106151,62830.93108805927,Asia,2164.622940929688
789,2022,November,Friday,Evening,Rural,Main Road,Clear,128.51052030976177,2,79,26-40,Female,0.1111341357908744,1,Poor,1,2,Severe,9,3,56.3257664004092,2159.8693075453552,Dry,Mechanical Failure,9,21290.88864210781,75774.27337711741,South America,2241.769397345952
794,2019,January,Thursday,Morning,Rural,Main Road,Rainy,181.1009016571987,3,115,26-40,Male,0.0262907778463533,1,Moderate,2,2,Minor,9,1,29.756788030743117,9027.971634535312,Dry,Drunk Driving,1,20685.499441560165,58585.67517440664,Asia,2530.738642007436
802,2015,October,Monday,Morning,Rural,Main Road,Rainy,133.14011794122953,4,54,<18,Female,0.1262226615021877,1,Good,0,2,Moderate,14,1,38.46355814775339,445.4230736670482,Icy,Drunk Driving,1,30869.07499918357,22385.985968614037,Europe,2984.1506816467354
810,2013,July,Monday,Evening,Rural,Street,Foggy,479.2730714997454,3,103,18-25,Male,0.2169360812063346,0,Poor,2,1,Moderate,17,4,34.63728364650936,7073.499866123247,Wet,Distracted Driving,0,19990.627754458903,64048.21295188351,Europe,4670.55305398664
816,2016,March,Monday,Night,Rural,Highway,Clear,227.69057374432552,4,69,61+,Male,0.0720173131779944,1,Good,0,1,Minor,18,0,44.30862622482885,4694.619465662354,Wet,Drunk Driving,5,47800.35451423602,15973.859331195044,North America,313.109982445691
820,2023,January,Monday,Morning,Rural,Highway,Snowy,301.2637143391239,1,46,18-25,Male,0.1212338373216713,0,Poor,0,0,Moderate,18,3,7.8241331477346385,9055.6244445971,Dry,Drunk Driving,4,41045.17750737551,87790.48593242046,Asia,3768.002851806199
824,2004,February,Saturday,Night,Urban,Street,Clear,491.6134237018056,4,88,18-25,Male,0.0478779539592367,0,Good,1,0,Moderate,5,2,47.55296484543349,9302.145577783083,Wet,Drunk Driving,2,42491.14399503629,72521.46908655229,Australia,4834.372612127019
829,2021,November,Sunday,Afternoon,Rural,Street,Clear,462.1882121382211,2,113,<18,Female,0.1334882012128696,0,Moderate,1,1,Minor,13,4,9.53255358571483,2277.452445052029,Dry,Drunk Driving,7,19255.9354702802,7409.702092350571,Europe,1728.8588522923203
836,2015,December,Saturday,Night,Rural,Main Road,Rainy,300.1681360942,3,95,26-40,Male,0.0962063270583288,1,Moderate,0,1,Moderate,19,2,33.032885733481066,9461.161945525824,Dry,Mechanical Failure,3,48356.72908642247,69461.56958775366,Asia,1052.7524577679374
839,2020,August,Monday,Night,Rural,Highway,Clear,336.3452006127114,4,92,26-40,Female,0.1615078874159367,0,Good,0,1,Minor,7,2,58.56253188589692,2682.569048337559,Wet,Drunk Driving,9,26850.72306922612,44126.34267395007,Australia,4412.407813955222
851,2018,September,Wednesday,Evening,Rural,Street,Snowy,404.1932645565223,2,68,18-25,Male,0.2428105037540377,1,Good,0,2,Minor,7,4,6.868116032592631,4731.13494579457,Wet,Speeding,0,39930.35863040559,95084.62187756044,Europe,2611.082913365516
853,2003,July,Wednesday,Evening,Rural,Main Road,Rainy,445.86343484587815,4,80,26-40,Male,0.0017953534496616,0,Poor,0,1,Minor,6,3,37.88990204490171,8149.906782457858,Dry,Weather,8,20608.575441929974,12343.709076072855,South America,4751.1452595355495
854,2022,December,Sunday,Night,Rural,Main Road,Foggy,265.6955474871108,1,91,41-60,Female,0.1243202584352911,1,Moderate,0,1,Moderate,16,3,10.891969535024003,3894.694218182348,Snow-covered,Weather,2,44906.86905738286,22102.2021254952,South America,1746.8134912670148
858,2021,September,Wednesday,Morning,Urban,Main Road,Windy,259.88042340637696,2,70,18-25,Male,0.0697925918546755,1,Poor,0,2,Severe,2,2,24.3191269009554,4284.1906558848905,Wet,Weather,5,21003.7819486018,22908.968575448376,South America,262.56953048163217
869,2006,May,Wednesday,Evening,Urban,Highway,Rainy,50.24439933474952,2,61,61+,Female,0.0869419617614832,0,Moderate,1,2,Minor,17,0,56.64540649414382,2443.866004888066,Icy,Drunk Driving,4,15819.610079822269,19800.80217580833,North America,2776.197825978007
